File;Group;Number in Group;Row;Column;X;Y;Width;Height;Notes;Tags;Number per file
blupi000.blp;ACTION_STOP;1;1;1;202;185;32;49;stand still | part of a 330-entry table_blupi record - likely a state lookup, not a plain animation sequence | also used by: ACTION_STOP(139x), ACTION_VERTIGO(1x), ACTION_OUF4(4x), ACTION_CHARGE(4x), ACTION_SWITCH(2x), ACTION_TELEPORTE(7x), ACTION_MOCKERY(45x), ACTION_MOCKERYi(45x);auto:table_blupi;1
blupi000.blp;ACTION_TURN;1;2;1;194;234;28;50;also used by: ACTION_TURN(1x), ACTION_TURNAIR(2x), ACTION_TAKESKATE(2x), ACTION_DEPOSESKATE(2x), ACTION_OUF1a(4x), ACTION_OUF1b(4x), ACTION_OUF2(4x), ACTION_OUF5(4x), ACTION_SUCETTE(4x), ACTION_CHARGE(12x), ACTION_TELEPORTE(7x), ACTION_MOCKERYi(4x), ACTION_MOCKERYp(4x);auto:table_blupi;2
blupi000.blp;ACTION_TURN;3;3;1;33;284;35;50;also used by: ACTION_TURN(1x), ACTION_TURNAIR(2x), ACTION_CHARGE(4x), ACTION_TELEPORTE(8x), ACTION_MOCKERYi(4x);auto:table_blupi;3
blupi000.blp;ACTION_TURN;5;4;1;222;234;28;50;also used by: ACTION_TURN(1x), ACTION_TURNAIR(2x), ACTION_CHARGE(12x), ACTION_TELEPORTE(7x), ACTION_MOCKERYi(4x);auto:table_blupi;4
blupi000.blp;ACTION_CHARGE;36;5;1;609;91;32;46;part of a 64-entry table_blupi record - likely a state lookup, not a plain animation sequence | also used by: ACTION_CHARGE(3x), ACTION_TELEPORTE(6x);auto:table_blupi;5
blupi000.blp;ACTION_MARCH;1;6;1;614;335;33;52;walk | also used by: ACTION_RECEDE(1x), ACTION_ADVANCE(1x);auto:table_blupi;6
blupi000.blp;ACTION_MARCH;2;7;1;430;234;32;50;walk | also used by: ACTION_RECEDE(1x), ACTION_ADVANCE(1x);auto:table_blupi;7
blupi000.blp;ACTION_MARCH;3;8;1;462;234;32;50;walk | also used by: ACTION_RECEDE(1x), ACTION_ADVANCE(1x);auto:table_blupi;8
blupi000.blp;ACTION_MARCH;4;9;1;647;335;33;52;walk | also used by: ACTION_RECEDE(1x), ACTION_ADVANCE(1x);auto:table_blupi;9
blupi000.blp;ACTION_MARCH;5;10;1;494;234;32;50;walk | also used by: ACTION_RECEDE(1x), ACTION_ADVANCE(1x);auto:table_blupi;10
blupi000.blp;ACTION_MARCH;6;11;1;706;284;32;51;walk | also used by: ACTION_RECEDE(1x), ACTION_ADVANCE(1x);auto:table_blupi;11
blupi000.blp;?;1;12;1;680;335;33;52;;auto:table_icon_blupi;12
blupi000.blp;?;1;13;1;526;234;32;50;;auto:table_icon_blupi;13
blupi000.blp;?;1;14;1;558;234;32;50;;auto:table_icon_blupi;14
blupi000.blp;?;1;15;1;713;335;33;52;;auto:table_icon_blupi;15
blupi000.blp;?;1;16;1;718;234;33;50;;auto:table_icon_blupi;16
